AGI_identifier	gene_name	gene_annotation
AT1G35333	AT1G35333	NA
AT1G35340	AT1G35340	NA
AT1G35350	AT1G35350:PHO1-H8	NA
AT1G35365	AT1G35365	NA
AT1G35375	AT1G35375	NA
AT1G35400	AT1G35400	NA
AT1G35410	AT1G35410	NA
AT1G35420	AT1G35420	NA
AT1G35430	AT1G35430	NA
AT1G35435	AT1G35435	NA
AT1G35440	AT1G35440:CYCT1-1	CYCT1;1:cyclin T1;1
AT1G35460	AT1G35460:BHLH80	FBH1:FLOWERING BHLH 1
AT1G35461	AT1G35461	NA
AT1G35467	AT1G35467:RALFL5	RALFL5:RALF-like 5
AT1G35470	AT1G35470	RanBPM:Ran-binding protein in the microtubule-organizing centre
AT1G35490	AT1G35490	NA
AT1G35500	AT1G35500	NA
AT1G35510	AT1G35510	NA
AT1G35515	AT1G35515:HOS10	HOS10:high response to osmotic stress 10;MYB8
AT1G35516	AT1G35516	NA
AT1G35520	AT1G35520:ARF15	ARF15:auxin response factor 15
AT1G35530	AT1G35530	At-FANCM;FANCM:Fanconi anemia complementation group M
AT1G35537	AT1G35537	NA
AT1G35540	AT1G35540:ARF14	ARF14:auxin response factor 14
AT1G35550	AT1G35550	NA
AT1G35560	AT1G35560:TCP23	AtTCP23;TCP23:TCP domain protein 23
AT1G35580	AT1G35580:CINV1	A/N-InvG:alkaline/neutral invertase G;CINV1:cytosolic invertase 1
AT1G35610	AT1G35610	NA
AT1G35614	AT1G35614	NA
AT1G35617	AT1G35617	NA
AT1G35620	AT1G35620:PDIL5-2	ATPDI8:ARABIDOPSIS THALIANA PROTEIN DISULFIDE ISOMERASE 8;ATPDIL5-2:PDI-like 5-2;PDI8:PROTEIN DISULFIDE ISOMERASE 8;PDIL5-2:PDI-like 5-2
AT1G35625	AT1G35625	NA
AT1G35630	AT1G35630:RMR5	NA
AT1G35660	AT1G35660	NA
AT1G35670	AT1G35670:CPK11	ATCDPK2:calcium-dependent protein kinase 2;ATCPK11;CDPK2:calcium-dependent protein kinase 2;CPK11
AT1G35680	AT1G35680:RPL21	RPL21C:chloroplast ribosomal protein L21
AT1G35710	AT1G35710	NA
AT1G35720	AT1G35720:ANN1	ANN1:annexin 1;ANNAT1:annexin 1;AtANN1;ATOXY5;OXY5
AT1G35730	AT1G35730:APUM9	APUM9:pumilio 9;PUM9:pumilio 9
AT1G35750	AT1G35750:APUM10	APUM10:pumilio 10;PUM10:pumilio 10
AT1G35780	AT1G35780	NA
AT1G35820	AT1G35820	NA
AT1G35830	AT1G35830	NA
AT1G35850	AT1G35850:APUM17	APUM17:pumilio 17;PUM17:pumilio 17
AT1G35860	AT1G35860:TOC75-I	TOC75-I:translocon outer membrane complex 75-I
AT1G35880	AT1G35880	NA
AT1G35890	AT1G35890	NA
AT1G35900	AT1G35900	NA
AT1G35910	AT1G35910:TPPD	TPPD:trehalose-6-phosphate phosphatase D
AT1G36000	AT1G36000:LBD5	LBD5:LOB domain-containing protein 5
AT1G36020	AT1G36020	NA
AT1G36030	AT1G36030	NA
AT1G36050	AT1G36050	NA
AT1G36060	AT1G36060:ERF055	NA
AT1G36070	AT1G36070	NA
AT1G36078	AT1G36078	NA
AT1G36095	AT1G36095	NA
AT1G36100	AT1G36100	NA
AT1G36150	AT1G36150	NA
AT1G36160	AT1G36160:ACC1	ACC1:acetyl-CoA carboxylase 1;AT-ACC1;EMB22:EMBRYO DEFECTIVE 22;GK:GURKE;GSD1:GLOSSYHEAD 1;PAS3:PASTICCINO 3;SFR3:SENSITIVE TO FREEZING 3
AT1G36180	AT1G36180:ACC2	ACC2:acetyl-CoA carboxylase 2
AT1G36230	AT1G36230	NA
AT1G36240	AT1G36240:RPL30A	NA
AT1G36272	AT1G36272	NA
AT1G36280	AT1G36280	NA
AT1G36310	AT1G36310	NA
AT1G36320	AT1G36320	NA
AT1G36340	AT1G36340:UBC31	UBC31:ubiquitin-conjugating enzyme 31
AT1G36370	AT1G36370:SHM7	SHM7:serine hydroxymethyltransferase 7
AT1G36380	AT1G36380	NA
AT1G36390	AT1G36390	NA
AT1G36510	AT1G36510	NA
AT1G36580	AT1G36580	NA
AT1G36622	AT1G36622	NA
AT1G36640	AT1G36640	NA
AT1G36675	AT1G36675	NA
AT1G36732	AT1G36732:CPuORF19	CPuORF19:conserved peptide upstream open reading frame 19
AT1G36730	AT1G36730	NA
AT1G36745	AT1G36745	NA
AT1G36756	AT1G36756	NA
AT1G36920	AT1G36920	NA
AT1G36922	AT1G36922	NA
AT1G36925	AT1G36925	NA
AT1G36940	AT1G36940	NA
AT1G36942	AT1G36942	NA
AT1G36950	AT1G36950	NA
AT1G36960	AT1G36960	NA
AT1G36970	AT1G36970	NA
AT1G36980	AT1G36980	NA
AT1G36990	AT1G36990	NA
AT1G37000	AT1G37000	NA
AT1G37007	AT1G37007	NA
AT1G37010	AT1G37010	NA
AT1G37020	AT1G37020	NA
AT1G37113	AT1G37113	NA
AT1G37130	AT1G37130:NIA2	ATNR2:ARABIDOPSIS NITRATE REDUCTASE 2;B29;CHL3:CHLORATE RESISTANT 3;NIA2:nitrate reductase 2;NIA2-1;NR:NITRATE REDUCTASE;NR2:NITRATE REDUCTASE 2
AT1G37140	AT1G37140:MCT1	MCT1:MEI2 C-terminal RRM only like 1
AT1G37150	AT1G37150:HCS2	HCS2:holocarboxylase synthetase 2
AT1G37162	AT1G37162	NA
AT1G38065	AT1G38065	NA
AT1G38131	AT1G38131	NA
AT1G38630	AT1G38630	NA
AT1G38790	AT1G38790	NA
AT1G38950	AT1G38950	NA
AT1G40083	AT1G40083	NA
AT1G40087	AT1G40087	NA
AT1G40104	AT1G40104	NA
AT1G40129	AT1G40129	NA
AT1G40390	AT1G40390	NA
AT1G41820	AT1G41820	NA
AT1G41830	AT1G41830:SKS6	SKS6:SKU5 SIMILAR 6;SKS6:SKU5-similar 6
AT1G41875	AT1G41875	NA
AT1G41880	AT1G41880:RPL35AB	NA
AT1G41920	AT1G41920	NA
AT1G42080	AT1G42080	NA
AT1G42190	AT1G42190	NA
AT1G42430	AT1G42430	NA
AT1G42440	AT1G42440	NA
AT1G42470	AT1G42470	NA
AT1G42480	AT1G42480	NA
AT1G42525	AT1G42525	NA
AT1G42540	AT1G42540:GLR3.3	ATGLR3.3;GLR3.3:glutamate receptor 3.3
AT1G42550	AT1G42550:PMI1	PMI1:PLASTID MOVEMENT IMPAIRED1
AT1G42560	AT1G42560:MLO9	ATMLO9:ARABIDOPSIS THALIANA MILDEW RESISTANCE LOCUS O 9;MLO9:MILDEW RESISTANCE LOCUS O 9
AT1G42680	AT1G42680	NA
AT1G42699	AT1G42699	NA
AT1G42700	AT1G42700	NA
AT1G42710	AT1G42710	NA
AT1G42960	AT1G42960	NA
AT1G42970	AT1G42970:GAPB	GAPB:glyceraldehyde-3-phosphate dehydrogenase B subunit
AT1G42980	AT1G42980:FH12	NA
AT1G42990	AT1G42990:BZIP60	ATBZIP60:basic region/leucine zipper motif 60;BZIP60:basic region/leucine zipper motif 60;BZIP60:Bbasic region/leucine zipper motif 60
AT1G43000	AT1G43000	NA
AT1G43005	AT1G43005	NA
AT1G43010	AT1G43010	NA
AT1G43020	AT1G43020	NA
AT1G43040	AT1G43040	NA
AT1G43080	AT1G43080	NA
AT1G43090	AT1G43090	NA
AT1G43100	AT1G43100	NA
AT1G43130	AT1G43130:LCV2	LCV2:like COV 2
AT1G43140	AT1G43140	NA
AT1G43145	AT1G43145	NA
AT1G43160	AT1G43160:RAP2-6	RAP2.6:related to AP2 6
AT1G43170	AT1G43170:ARP1	ARP1:ribosomal protein 1;emb2207:embryo defective 2207;RP1:ribosomal protein 1;RPL3A
AT1G43171	AT1G43171	NA
AT1G43190	AT1G43190:PTB3	PTB3:polypyrimidine tract-binding protein 3
AT1G43245	AT1G43245:SDG41	NA
AT1G43260	AT1G43260	NA
AT1G43310	AT1G43310	NA
AT1G43320	AT1G43320	NA
AT1G43330	AT1G43330	NA
AT1G43415	AT1G43415	NA
AT1G43560	AT1G43560:Aty2	Aty2:thioredoxin Y2;ty2:thioredoxin Y2
AT1G43580	AT1G43580	NA
AT1G43600	AT1G43600	NA
AT1G43610	AT1G43610	NA
AT1G43620	AT1G43620:UGT80B1	TT15:TRANSPARENT TESTA 15;UGT80B1
AT1G43624	AT1G43624	NA
AT1G43630	AT1G43630	NA
AT1G43640	AT1G43640:TULP5	AtTLP5:tubby like protein 5;TLP5:tubby like protein 5
AT1G43650	AT1G43650	UMAMIT22:Usually multiple acids move in and out Transporters 22
AT1G43665	AT1G43665	NA
AT1G43666	AT1G43666	NA
AT1G43667	AT1G43667	NA
AT1G43670	AT1G43670	AtcFBP:Arabidopsis thaliana cytosolic fructose-1,6-bisphosphatase;FBP:fructose-1,6-bisphosphatase;FINS1:FRUCTOSE INSENSITIVE 1
AT1G43680	AT1G43680	NA
AT1G43690	AT1G43690	NA
AT1G43700	AT1G43700:VIP1	SUE3:sulphate utilization efficiency 3;VIP1:VIRE2-interacting protein 1
AT1G43710	AT1G43710:SDC	ATSDC1:Arabidopsis thaliana serine decarboxylase 1;EMB1075:embryo defective 1075;SDC1:serine decarboxylase 1
AT1G43720	AT1G43720	NA
AT1G43722	AT1G43722	NA
AT1G43730	AT1G43730	NA
AT1G43760	AT1G43760	NA
AT1G43770	AT1G43770	NA
AT1G43780	AT1G43780:SCPL44	scpl44:serine carboxypeptidase-like 44
AT1G43790	AT1G43790:TED6	TED6:tracheary element differentiation-related 6
AT1G43800	AT1G43800:S-ACP-DES6	FTM1:FLORAL TRANSITION AT THE MERISTEM1
AT1G43810	AT1G43810	NA
AT1G43850	AT1G43850:SEU	SEU:seuss
AT1G43860	AT1G43860	NA
AT1G43890	AT1G43890:RABC1	ATRAB-C1:ARABIDOPSIS RAB GTPASE HOMOLOG C1;ATRAB18:ARABIDOPSIS RAB GTPASE HOMOLOG B18;ATRABC1:ARABIDOPSIS RAB GTPASE HOMOLOG C1;RAB18:RAB GTPASE HOMOLOG B18;RAB18-1:RAB GTPASE HOMOLOG 18-1;RABC1:RAB GTPASE HOMOLOG C1
AT1G43900	AT1G43900	NA
AT1G43910	AT1G43910	NA
AT1G43950	AT1G43950:ARF23	ARF23:auxin response factor 23
AT1G43970	AT1G43970	NA
AT1G43980	AT1G43980:PCMP-E58	NA
AT1G44000	AT1G44000:SGRL	NA
AT1G44010	AT1G44010	NA
AT1G44020	AT1G44020	NA
AT1G44030	AT1G44030	NA
AT1G44050	AT1G44050	NA
AT1G44080	AT1G44080	NA
AT1G44085	AT1G44085	NA
AT1G44090	AT1G44090:GA20OX5	ATGA20OX5:ARABIDOPSIS THALIANA GIBBERELLIN 20-OXIDASE 5;GA20OX5:gibberellin 20-oxidase 5
AT1G44094	AT1G44094	NA
AT1G44100	AT1G44100:AAP5	AAP5:amino acid permease 5
AT1G44110	AT1G44110:CYCA1-1	CYCA1;1:Cyclin A1;1
AT1G44120	AT1G44120	NA
AT1G44130	AT1G44130	NA
AT1G44160	AT1G44160	NA
AT1G44170	AT1G44170:ALDH3H1	ALDH3H1:aldehyde dehydrogenase 3H1;ALDH4:aldehyde dehydrogenase 4
AT1G44180	AT1G44180	NA
AT1G44191	AT1G44191	NA
AT1G44224	AT1G44224	NA
AT1G44318	AT1G44318:HEMB2	hemb2
AT1G44350	AT1G44350:ILL6	ILL6:IAA-leucine resistant (ILR)-like gene 6
AT1G44414	AT1G44414	NA
AT1G44446	AT1G44446:CAO	ATCAO:ARABIDOPSIS THALIANA CHLOROPHYLL A OXYGENASE;CAO:CHLOROPHYLL A OXYGENASE;CH1:CHLORINA 1
AT1G44478	AT1G44478	NA
AT1G44542	AT1G44542	NA
AT1G44575	AT1G44575:PSBS	CP22;NPQ4:NONPHOTOCHEMICAL QUENCHING 4;PSBS:PHOTOSYSTEM II SUBUNIT S
AT1G44608	AT1G44608	NA
AT1G44674	AT1G44674	NA
AT1G44740	AT1G44740	NA
AT1G44750	AT1G44750:PUP11	ATPUP11:purine permease 11;PUP11:purine permease 11
AT1G44760	AT1G44760	NA
AT1G44770	AT1G44770	NA
AT1G44780	AT1G44780	NA
AT1G44790	AT1G44790	NA
AT1G44800	AT1G44800	SIAR1:Siliques Are Red 1;UMAMIT18:Usually multiple acids move in and out Transporters 18
AT1G44810	AT1G44810	NA
AT1G44820	AT1G44820	NA
AT1G44830	AT1G44830:ERF014	NA
AT1G44835	AT1G44835	NA
AT1G44890	AT1G44890	NA
AT1G44900	AT1G44900:MCM2	ATMCM2;MCM2:MINICHROMOSOME MAINTENANCE 2
AT1G44910	AT1G44910:PRP40A	ATPRP40A:pre-mRNA-processing protein 40A;PRP40A:pre-mRNA-processing protein 40A
AT1G44920	AT1G44920	NA
AT1G44940	AT1G44940	NA
AT1G44941	AT1G44941	NA
AT1G44960	AT1G44960	NA
AT1G44970	AT1G44970:PER9	NA
AT1G44980	AT1G44980:PME57	ATPME7:A. THALIANA PECTIN METHYLESTERASE 7;PME7:pectin methylesterase 7
AT1G44990	AT1G44990	NA
AT1G45000	AT1G45000:RPT4B	NA
AT1G45010	AT1G45010	NA
AT1G45015	AT1G45015	NA
AT1G45050	AT1G45050:UBC15	ATUBC2-1;UBC15:Arabidopsis thaliana ubiquitin-conjugating enzyme 15
AT1G45063	AT1G45063	NA
AT1G45100	AT1G45100	NA
AT1G45110	AT1G45110	NA
AT1G45130	AT1G45130:BGAL5	AtBGAL5;BGAL5:beta-galactosidase 5
AT1G45145	AT1G45145:TRX5	ATH5:THIOREDOXIN H-TYPE 5;ATTRX5:thioredoxin H-type 5;LIV1:LOCUS OF INSENSITIVITY TO VICTORIN 1;TRX-h5:THIOREDOXIN H-TYPE 5;TRX5:thioredoxin H-type 5
AT1G45150	AT1G45150	NA
AT1G45160	AT1G45160:IRE4	NA
AT1G45163	AT1G45163	NA
AT1G45165	AT1G45165	NA
AT1G45170	AT1G45170:OEP24A	NA
AT1G45180	AT1G45180	NA
AT1G45190	AT1G45190:DD18	DD18:downregulated in DIF1 18
AT1G45191	AT1G45191:BGLU1	BGLU1:beta glucosidase 1
AT1G45201	AT1G45201:ATTLL1	ATTLL1:ARABIDOPSIS THALIANA TRIACYLGLYCEROL LIPASE-LIKE 1;TLL1:triacylglycerol lipase-like 1
AT1G45207	AT1G45207	NA
AT1G45215	AT1G45215	NA
AT1G45221	AT1G45221	NA
AT1G45223	AT1G45223	NA
AT1G45243	AT1G45243	NA
AT1G45231	AT1G45231	NA
AT1G45233	AT1G45233:THO5A	AtTHO5;THO5
AT1G45229	AT1G45229	NA
AT1G45248	AT1G45248	NA
AT1G45249	AT1G45249:ABF2	ABF2:abscisic acid responsive elements-binding factor 2;AREB1:ABSCISIC ACID RESPONSIVE ELEMENTS-BINDING PROTEIN 2;AtABF2;ATAREB1
AT1G45230	AT1G45230	NA
AT1G45332	AT1G45332:MEFG1	NA
AT1G45403	AT1G45403	NA
AT1G45474	AT1G45474:LHCA5	Lhca5:photosystem I light harvesting complex gene 5
AT1G45545	AT1G45545:WEL2	NA
AT1G45616	AT1G45616:AtRLP6	AtRLP6:receptor like protein 6;RLP6:receptor like protein 6
AT1G45688	AT1G45688	NA
AT1G45976	AT1G45976:SBP1	SBP1:S-ribonuclease binding protein 1
AT1G46264	AT1G46264:HSFB4	AT-HSFB4;HSFB4:heat shock transcription factor  B4;SCZ:SCHIZORIZA
AT1G46336	AT1G46336	NA
AT1G46408	AT1G46408:AGL97	AGL97:AGAMOUS-like 97
AT1G46480	AT1G46480:WOX4	WOX4:WUSCHEL related homeobox 4
AT1G46696	AT1G46696	NA
AT1G46768	AT1G46768:RAP2-1	RAP2.1:related to AP2 1
AT1G46840	AT1G46840	NA
AT1G46912	AT1G46912	NA
AT1G46984	AT1G46984	NA
AT1G47056	AT1G47056:VFB1	VFB1:VIER F-box proteine 1
AT1G47128	AT1G47128:RD21A	RD21:responsive to dehydration 21;RD21A:responsive to dehydration 21A
AT1G47200	AT1G47200:WPP2	WPP2:WPP domain protein 2
AT1G47210	AT1G47210:CYCA3-2	CYCA3;2:cyclin-dependent protein kinase 3;2
AT1G47220	AT1G47220:CYCA3-3	CYCA3;3:Cyclin A3;3
AT1G47230	AT1G47230:CYCA3-4	CYCA3;4:CYCLIN A3;4
AT1G47240	AT1G47240:NRAMP2	ATNRAMP2;NRAMP2:NRAMP metal ion transporter 2
AT1G47250	AT1G47250:PAF2	PAF2:20S proteasome alpha subunit F2
AT1G47260	AT1G47260:GAMMACA2	APFI;GAMMA CA2:gamma carbonic anhydrase 2
AT1G47265	AT1G47265	NA
AT1G47270	AT1G47270:TULP6	AtTLP6:tubby like protein 6;TLP6:tubby like protein 6
AT1G47271	AT1G47271	NA
AT1G47278	AT1G47278	NA
AT1G47280	AT1G47280	NA
AT1G47290	AT1G47290:3BETAHSD/D1	3BETAHSD/D1:3beta-hydroxysteroid-dehydrogenase/decarboxylase isoform 1;AT3BETAHSD/D1:3beta-hydroxysteroid-dehydrogenase/decarboxylase isoform 1
AT1G47300	AT1G47300	NA
AT1G47310	AT1G47310	NA
AT1G47317	AT1G47317	NA
AT1G47330	AT1G47330:CBSDUF7	NA
AT1G47340	AT1G47340	NA
AT1G47350	AT1G47350	NA
AT1G47370	AT1G47370	NA
AT1G47380	AT1G47380	NA
AT1G47389	AT1G47389	NA
AT1G47390	AT1G47390	NA
AT1G47395	AT1G47395	NA
AT1G47400	AT1G47400	NA
AT1G47410	AT1G47410	NA
AT1G47420	AT1G47420:SDH5	SDH5:succinate dehydrogenase 5
AT1G47450	AT1G47450	NA
AT1G47470	AT1G47470	NA
AT1G47480	AT1G47480:CXE2	NA
AT1G47485	AT1G47485	NA
AT1G47490	AT1G47490:RBP47C	ATRBP47C:RNA-binding protein 47C;RBP47C:RNA-binding protein 47C
AT1G47495	AT1G47495	NA
AT1G47497	AT1G47497	NA
AT1G47500	AT1G47500:RBP47C'	ATRBP47C':RNA-binding protein 47C';RBP47C':RNA-binding protein 47C'
AT1G47510	AT1G47510:AT5PTASE11	5PTASE11:inositol polyphosphate 5-phosphatase 11;AT5PTASE11:ARABIDOPSIS THALIANA INOSITOL POLYPHOSPHATE 5-PHOSPHATASE 11
AT1G47530	AT1G47530	NA
AT1G47540	AT1G47540:ATTI7	NA
AT1G47550	AT1G47550:SEC3A	SEC3A:exocyst complex component sec3A
AT1G47560	AT1G47560:SEC3B	SEC3B:exocyst complex component sec3B
AT1G47570	AT1G47570	NA
AT1G47578	AT1G47578	NA
AT1G47580	AT1G47580:DYW1	DYW1:DYW domain protein 1
AT1G47600	AT1G47600:TGG4	BGLU34:beta glucosidase 34;TGG4:THIOGLUCOSIDE GLUCOHYDROLASE 4
AT1G47603	AT1G47603:ATPUP19	ATPUP19:purine permease 19;PUP19:purine permease 19
AT1G47610	AT1G47610	NA
AT1G47620	AT1G47620:CYP96A8	"CYP96A8:""cytochrome P450, family 96, subfamily A, polypeptide 8"""
AT1G47640	AT1G47640	NA
AT1G47655	AT1G47655:DOF1.6	NA
AT1G47660	AT1G47660	NA
AT1G47670	AT1G47670:AATL1	NA
AT1G47680	AT1G47680	NA
AT1G47690	AT1G47690	NA
AT1G47700	AT1G47700	NA
AT1G47710	AT1G47710	AtSERPIN1;SERPIN1
AT1G47720	AT1G47720:OSB1	OSB1:Organellar Single-stranded
AT1G47730	AT1G47730	NA
AT1G47740	AT1G47740	NA
AT1G47750	AT1G47750:PEX11A	PEX11A:peroxin 11A
AT1G47760	AT1G47760:AGL102	AGL102:AGAMOUS-like 102
AT1G47765	AT1G47765	NA
AT1G47770	AT1G47770	NA
AT1G47780	AT1G47780	NA
AT1G47786	AT1G47786	NA
AT1G47790	AT1G47790	NA
AT1G47800	AT1G47800	NA
AT1G47810	AT1G47810	NA
AT1G47813	AT1G47813	NA
AT1G47820	AT1G47820	NA
AT1G47830	AT1G47830:AP17	NA
AT1G47840	AT1G47840:HXK3	HXK3:hexokinase 3
AT1G47870	AT1G47870:E2FC	ATE2F2;ATE2FC:ARABIDOPSIS THALIANA HOMOLOG OF E2F C;E2FC
AT1G47885	AT1G47885	NA
AT1G47890	AT1G47890:AtRLP7	AtRLP7:receptor like protein 7;RLP7:receptor like protein 7
AT1G47900	AT1G47900:FPP6	NA
AT1G47915	AT1G47915	NA
AT1G47920	AT1G47920	NA
AT1G47940	AT1G47940	NA
AT1G47946	AT1G47946	NA
AT1G47960	AT1G47960:C/VIF1	ATC/VIF1:CELL WALL / VACUOLAR INHIBITOR OF FRUCTOSIDASE 1;C/VIF1:cell wall / vacuolar inhibitor of fructosidase 1
AT1G47970	AT1G47970	NA
AT1G47980	AT1G47980	NA
AT1G47990	AT1G47990:GA2OX4	ATGA2OX4:Arabidopsis thaliana gibberellin 2-oxidase 4;GA2OX4:gibberellin 2-oxidase 4
AT1G48000	AT1G48000:MYB112	AtMYB112:myb domain protein 112;MYB112:myb domain protein 112
AT1G48010	AT1G48010	NA
AT1G48020	AT1G48020:PMEI1	ATPMEI1:ARABIDOPSIS THALIANA PECTIN METHYLESTERASE INHIBITOR 1;PMEI1:pectin methylesterase inhibitor 1
AT1G48030	AT1G48030:LPD1	mtLPD1:mitochondrial lipoamide dehydrogenase 1
AT1G48040	AT1G48040	NA
AT1G48050	AT1G48050:KU80	ATKU80:ARABIDOPSIS THALIANA KU80 HOMOLOG;KU80
AT1G48060	AT1G48060	NA
AT1G48070	AT1G48070	NA
AT1G48090	AT1G48090	NA
AT1G48095	AT1G48095	NA
AT1G48100	AT1G48100	NA
AT1G48110	AT1G48110:ECT7	ECT7:evolutionarily conserved C-terminal region 7
AT1G48120	AT1G48120	NA
AT1G48130	AT1G48130:PER1	ATPER1:1-cysteine peroxiredoxin 1;PER1:1-cysteine peroxiredoxin 1
AT1G48140	AT1G48140	DPMS3:dolichol phosphate mannose synthase 3
AT1G48145	AT1G48145	NA
AT1G48150	AT1G48150	NA
AT1G48160	AT1G48160:SRP19	NA
AT1G48170	AT1G48170	NA
AT1G48175	AT1G48175:emb2191	emb2191:embryo defective 2191;TAD1:tRNA adenosine deaminase 1
AT1G48180	AT1G48180	NA
AT1G48190	AT1G48190	NA
AT1G48195	AT1G48195	NA
AT1G48200	AT1G48200	NA
AT1G48210	AT1G48210	NA
AT1G48220	AT1G48220	NA
AT1G48230	AT1G48230	NA
AT1G48240	AT1G48240:NPSN12	ATNPSN12;NPSN12:novel plant snare 12
AT1G48260	AT1G48260:CIPK17	CIPK17:CBL-interacting protein kinase  17;SnRK3.21:SNF1-RELATED PROTEIN KINASE 3.21
AT1G48270	AT1G48270:GCR1	GCR1:G-protein-coupled receptor 1
AT1G48280	AT1G48280	NA
AT1G48300	AT1G48300	DGAT3:diacylglycerol acyltransferase 3
AT1G48310	AT1G48310:CHR18	CHA18;CHR18:chromatin remodeling factor18
AT1G48320	AT1G48320:DHNAT1	DHNAT1:DHNA-CoA thioesterase 1
AT1G48325	AT1G48325	NA
AT1G48330	AT1G48330	NA
AT1G48350	AT1G48350:RPL18	EMB3105:EMBRYO DEFECTIVE 3105
AT1G48360	AT1G48360	NA
AT1G48370	AT1G48370:YSL8	YSL8:YELLOW STRIPE like 8
AT1G48380	AT1G48380:RHL1	HYP7:HYPOCOTYL 7;RHL1:ROOT HAIRLESS 1
AT1G48390	AT1G48390	NA
AT1G48400	AT1G48400	NA
AT1G48405	AT1G48405	NA
AT1G48410	AT1G48410:AGO1	AGO1:ARGONAUTE 1;AtAGO1;ICU9
AT1G48420	AT1G48420:DCD	ACD1:1-AMINOCYCLOPROPANE-1-CARBOXYLIC ACID DEAMINASE 1;ATACD1:A. THALIANA 1-AMINOCYCLOPROPANE-1-CARBOXYLIC ACID DEAMINASE 1;AtDCD;D-CDES:D-cysteine desulfhydrase;DCD:D-cysteine desulfhydrase
AT1G48430	AT1G48430	NA
AT1G48440	AT1G48440	NA
AT1G48450	AT1G48450	NA
AT1G48460	AT1G48460	NA
AT1G48470	AT1G48470:GLN1-5	GLN1;5:glutamine synthetase 1;5
AT1G48480	AT1G48480:RKL1	RKL1:receptor-like kinase 1
AT1G48490	AT1G48490:IRE3	NA
AT1G48500	AT1G48500:TIFY6A	AtJAZ4;JAZ4:jasmonate-zim-domain protein 4;TIFY6A:TIFY DOMAIN PROTEIN 6A
AT1G48510	AT1G48510	NA
AT1G48520	AT1G48520:GATB	GATB:GLU-ADT subunit B
AT1G48530	AT1G48530	NA
AT1G48540	AT1G48540	NA
AT1G48550	AT1G48550	NA
AT1G48560	AT1G48560	NA
AT1G48570	AT1G48570	NA
AT1G48580	AT1G48580	NA
AT1G48590	AT1G48590	NA
AT1G48598	AT1G48598:CPuORF31	CPuORF31:conserved peptide upstream open reading frame 31
AT1G48600	AT1G48600:NMT2	AtPMEAMT;PMEAMT:phosphoethanolamine N-methyltransferase
AT1G48605	AT1G48605:HAL3B	ATHAL3B;HAL3:HALOTOLERANCE DETERMINANT 3;HAL3B:HALOTOLERANCE DETERMINANT 3B
AT1G48610	AT1G48610	NA
AT1G48620	AT1G48620:HON5	HON5:high mobility group A5
AT1G48630	AT1G48630:RACK1B	RACK1B:receptor for activated C kinase 1B;RACK1B_AT:receptor for activated C kinase 1B
AT1G48635	AT1G48635:PEX3-2	PEX3:peroxin 3;PEX3-2:PEROXIN 3-2
AT1G48640	AT1G48640	NA
AT1G48650	AT1G48650	NA
AT1G48660	AT1G48660	NA
AT1G48670	AT1G48670	NA
AT1G48690	AT1G48690	NA
AT1G48700	AT1G48700	NA
AT1G48720	AT1G48720	NA
AT1G48730	AT1G48730	NA
AT1G48740	AT1G48740	NA
AT1G48745	AT1G48745	NA
AT1G48750	AT1G48750	NA
AT1G48760	AT1G48760:DELTA-ADR	delta-ADR:delta-adaptin;PAT4:PROTEIN-AFFECTED TRAFFICKING 4
AT1G48770	AT1G48770	NA
AT1G48780	AT1G48780	NA
AT1G48790	AT1G48790:AMSH1	AMSH1:associated molecule with the SH3 domain of STAM 1
AT1G48800	AT1G48800:TPS28	NA
AT1G48820	AT1G48820	NA
AT1G48830	AT1G48830:RPS7A	NA
AT1G48840	AT1G48840	NA
AT1G48850	AT1G48850:EMB1144	EMB1144:embryo defective 1144
AT1G48860	AT1G48860	NA
AT1G48870	AT1G48870	NA
AT1G48880	AT1G48880:TBL7	TBL7:TRICHOME BIREFRINGENCE-LIKE 7
AT1G48900	AT1G48900:SRP-54C	NA
AT1G48910	AT1G48910:YUC10	YUC10:YUCCA 10
AT1G48912	AT1G48912	NA
AT1G48920	AT1G48920:NUCL1	ATNUC-L1:nucleolin like 1;NUC-L1:nucleolin like 1;PARL1:PARALLEL 1
AT1G48930	AT1G48930:AtGH9C1	AtGH9C1:glycosyl hydrolase 9C1;GH9C1:glycosyl hydrolase 9C1
AT1G48940	AT1G48940:ENODL6	AtENODL6;ENODL6:early nodulin-like protein 6
AT1G48950	AT1G48950	NA
AT1G48953	AT1G48953	NA
AT1G48960	AT1G48960	NA
AT1G48970	AT1G48970	NA
AT1G48980	AT1G48980	NA
AT1G48990	AT1G48990	NA
AT1G49000	AT1G49000	NA
AT1G49005	AT1G49005:CLE11	CLE11:CLAVATA3/ESR-RELATED 11
AT1G49010	AT1G49010	NA
AT1G49015	AT1G49015	NA
AT1G49030	AT1G49030:PCR6	NA
AT1G49032	AT1G49032	NA
AT1G49040	AT1G49040:SCD1	SCD1:STOMATAL CYTOKINESIS-DEFECTIVE 1
AT1G49050	AT1G49050	NA
AT1G49100	AT1G49100	NA
AT1G49110	AT1G49110	NA
AT1G49120	AT1G49120:ERF117	CRF9:cytokinin response factor 9
AT1G49130	AT1G49130:COL8	BBX17:B-box domain protein 17
AT1G49140	AT1G49140	NA
AT1G49150	AT1G49150	NA
AT1G49160	AT1G49160:WNK7	WNK7
AT1G49170	AT1G49170	NA
